n_clients,good,poor,medium
medium,0.8532299220822236,0.0197706251271842,0.12699945279059222
poor,0.773175884225328,0.03381368034730647,0.1930104354273655
good,0.9724912113031595,0.0064364484339221924,0.021072340262918283
