val_snr,val_utilization,poor,good,medium
poor,good,0.3498625555113678,0.552874569596718,0.09726287489191418
medium,good,0.3022080432886604,0.4995936109759681,0.19819834573537154
good,poor,0.27314703939020074,0.43856116346230783,0.2882917971474914
medium,medium,0.4044006747706792,0.3483484803453082,0.24725084488401258
poor,medium,0.49228397341081365,0.38768652368637174,0.12002950290281461
poor,poor,0.4842040503495491,0.39057865275277204,0.12521729689767885
medium,poor,0.40215091521838786,0.34536385678145637,0.25248522800015577
good,good,0.18078562642123328,0.6183875001314558,0.20082687344731087
good,medium,0.264765649108846,0.43260905686338347,0.30262529402777055
