val_snr,poor,good,medium
poor,0.4962429741386695,0.41364517741439705,0.0901118484469334
medium,0.13555821112673816,0.8259230560205958,0.038518732852666014
good,0.053769241413563595,0.9388580824571118,0.007372676129324679
